member_casual,station_name,number_of_stations
member,Clark St & Lake St,8565
member,Lake Shore Dr & Diversey Pkwy,8558
member,Lake Shore Dr & Monroe St,8551
member,Clark St & Chicago Ave,8540
casual,Clark St & Schiller St,8534
member,Franklin St & Lake St,8524
member,Sedgwick St & Webster Ave,8513
casual,Rush St & Superior St,8455
casual,Lake Shore Dr & Ohio St,8451
casual,DuSable Lake Shore Dr & North Blvd,8446
casual,Bissell St & Armitage Ave,8439
member,Sedgwick St & North Ave,8434
member,Sheridan Rd & Irving Park Rd,8320
member,Clark St & Randolph St,8311
member,Franklin St & Jackson Blvd,8282
casual,Southport Ave & Roscoe St,8256
member,Franklin St & Monroe St,8236
casual,Lake Shore Dr & Belmont Ave,8185
member,Michigan Ave & 14th St,8170
casual,Pine Grove Ave & Waveland Ave,8110
member,New St & Illinois St,8110
casual,Lake Shore Dr & Diversey Pkwy,8078
member,Sheffield Ave & Wrightwood Ave,8048
casual,Wabash Ave & 9th St,8044
casual,Lakefront Trail & Bryn Mawr Ave,8035
member,Wood St & Milwaukee Ave,8025
member,Paulina St & Flournoy St,8017
casual,Clark St & Grace St,8004
casual,Morgan St & Lake St,7993
member,Sheffield Ave & Fullerton Ave,7937
casual,Michigan Ave & Pearson St,7904
member,Clarendon Ave & Gordon Ter,7864
member,LaSalle Dr & Huron St,7820
member,Desplaines St & Jackson Blvd,7754
casual,Clark St & Wellington Ave,7739
member,Wolcott Ave & Polk St,7738
member,Milwaukee Ave & Wabansia Ave,7726
casual,Halsted St & Wrightwood Ave,7708
member,Ritchie Ct & Banks St,7673
member,Burling St & Diversey Pkwy,7643
member,Clark St & Grace St,7623
casual,Lake Shore Dr & Wellington Ave,7618
casual,Wilton Ave & Diversey Pkwy,7618
casual,Federal St & Polk St,7556
casual,Mies van der Rohe Way & Chestnut St,7547
member,Clinton St & Jackson Blvd,7526
member,Aberdeen St & Jackson Blvd,7495
casual,Michigan Ave & Jackson Blvd,7494
member,Clarendon Ave & Junior Ter,7456
member,Broadway & Sheridan Rd,7450
member,LaSalle St & Jackson Blvd,7409
casual,Sheffield Ave & Wrightwood Ave,7398
casual,Broadway & Waveland Ave,7373
member,Ravenswood Ave & Lawrence Ave,7308
member,Racine Ave & Fullerton Ave,7295
casual,Sheffield Ave & Webster Ave,7239
casual,DuSable Lake Shore Dr & Monroe St,7230
casual,Sheffield Ave & Wellington Ave,7225
member,Millennium Park,7190
casual,Milwaukee Ave & Grand Ave,7169
member,Ellis Ave & 60th St,7161
casual,Sedgwick St & North Ave,7153
casual,Southport Ave & Waveland Ave,7141
casual,Clark St & North Ave,7130
member,Larrabee St & Division St,7111
member,Greenview Ave & Fullerton Ave,7088
member,Lincoln Ave & Roscoe St,7084
member,Lake Shore Dr & Ohio St,7080
casual,McClurg Ct & Erie St,7010
member,University Ave & 57th St,7002
casual,Broadway & Belmont Ave,6962
member,Halsted St & Willow St,6960
member,Ogden Ave & Race Ave,6934
casual,Shore Dr & 55th St,6877
member,Racine Ave & Belmont Ave,6862
casual,Halsted St & Dickens Ave,6852
casual,Franklin St & Jackson Blvd,6850
member,Desplaines St & Randolph St,6734
member,Southport Ave & Wellington Ave,6715
member,Wells St & Polk St,6713
member,Cityfront Plaza Dr & Pioneer Ct,6711
casual,Wood St & Milwaukee Ave,6701
member,Kimbark Ave & 53rd St,6661
casual,Clark St & Lake St,6656
member,Morgan St & Polk St,6606
casual,Cityfront Plaza Dr & Pioneer Ct,6596
member,Clifton Ave & Armitage Ave,6570
casual,Daley Center Plaza,6566
casual,Fort Dearborn Dr & 31st St,6543
member,Field Blvd & South Water St,6508
casual,Halsted St & Clybourn Ave,6490
member,Canal St & Madison St,6451
member,Clark St & North Ave,6428
member,Dayton St & North Ave,6391
casual,Racine Ave & Belmont Ave,6388
member,Clark St & Winnemac Ave,6378
member,Halsted St & Polk St,6367
member,LaSalle St & Washington St,6366
member,Aberdeen St & Monroe St,6334
member,Larrabee St & Armitage Ave,6315
casual,Clinton St & Madison St,6306
member,Shore Dr & 55th St,6301
member,Lincoln Ave & Belmont Ave,6295
member,Damen Ave & Cortland St,6259
casual,Franklin St & Illinois St,6258
casual,Dearborn St & Monroe St,6254
member,State St & Pearson St,6238
member,Orleans St & Chestnut St (NEXT Apts),6230
member,Stetson Ave & South Water St,6217
casual,Ritchie Ct & Banks St,6159
member,Clark St & Leland Ave,6154
