member_casual,station_name,number_of_stations
casual,Wolcott Ave & Polk St,1403
member,Western Ave & 21st St,1396
member,Damen Ave & Cullerton St,1389
member,Leavitt St & Addison St,1383
member,Halsted St & 18th St,1378
member,Field Museum,1369
casual,Ashland Ave & Belle Plaine Ave,1360
member,Damen Ave & Walnut (Lake) St,1353
member,University Library (NU),1348
casual,Winchester Ave & Elston Ave,1346
member,Albany Ave & Montrose Ave,1339
member,Western Ave & Monroe St,1339
member,Smith Park,1336
casual,St. Louis Ave & Fullerton Ave,1334
member,Lake Park Ave & 47th St,1327
casual,State St & 33rd St,1321
casual,Kosciuszko Park,1320
member,Troy St & Elston Ave,1319
casual,Cottage Grove Ave & Oakwood Blvd,1310
casual,Halsted St & Polk St,1301
member,Central Park Ave & Bloomingdale Ave,1290
member,Hermitage Ave & Polk St,1289
casual,Southport Ave & Clark St,1285
member,California Ave & Byron St,1267
member,Halsted St & North Branch St,1261
casual,Throop St & Taylor St,1255
member,Claremont Ave & Hirsch St,1248
member,Chicago Ave & Sheridan Rd,1235
member,Paulina St & Howard St,1234
casual,Sheridan Rd & Greenleaf Ave,1214
casual,Paulina St & Montrose Ave,1210
member,Oakley Ave & Irving Park Rd,1209
member,Hoyne Ave & Balmoral Ave,1201
member,Wentworth Ave & 33rd St,1198
casual,California Ave & Montrose Ave,1194
casual,Washtenaw Ave & Lawrence Ave,1177
member,Glenwood Ave & Touhy Ave,1176
casual,Laflin St & Cullerton St,1165
member,Spaulding Ave & Division St,1156
casual,Clark St & Elmdale Ave,1146
casual,South Shore Dr & 71st St,1146
member,May St & Cullerton St,1137
casual,Racine Ave & Congress Pkwy,1136
casual,Emerald Ave & 31st St,1129
casual,Damen Ave & Cullerton St,1128
casual,Damen Ave & Madison St,1127
casual,Lincoln Ave & Winona St,1123
casual,University Library (NU),1123
member,St. Louis Ave & Fullerton Ave,1120
member,Central Park Ave & Elbridge Ave,1113
casual,Elston Ave & Wabansia Ave,1108
casual,Damen Ave & Sunnyside Ave,1103
casual,Greenwood Ave & 47th St,1103
member,Laflin St & Cullerton St,1098
member,Richmond St & Diversey Ave,1098
casual,Morgan St & 31st St,1076
member,South Shore Dr & 71st St,1074
casual,Clinton St & Tilden St,1068
member,Kimball Ave & Belmont Ave,1061
member,Western Ave & Lunt Ave,1061
casual,California Ave & Byron St,1055
casual,Western Ave & Roscoe St,1054
member,Ogden Ave & Roosevelt Rd,1051
casual,Richmond St & Diversey Ave,1049
casual,Morgan Ave & 14th Pl,1047
member,Calumet Ave & 35th St,1044
member,Lake Park Ave & 35th St,1042
casual,Damen Ave & Walnut (Lake) St,1040
member,Winchester (Ravenswood) Ave & Balmoral Ave,1037
casual,Oakley Ave & Irving Park Rd,1032
member,Wells St & 19th St,1023
casual,Halsted St & Roosevelt Rd,1022
member,Greenwood Ave & 47th St,1018
casual,South Shore Dr & 67th St,1008
casual,Central Park Ave & Elbridge Ave,1004
casual,Halsted St & 18th St,989
casual,Wentworth Ave & 24th St (Temp),988
casual,Racine Ave & 15th St,981
casual,Clark St & Schreiber Ave,979
casual,Western Ave & Fillmore St,967
casual,Claremont Ave & Hirsch St,963
casual,Kimball Ave & Belmont Ave,962
casual,Leavitt St & Addison St,962
member,Normal Ave & Archer Ave,962
member,Kosciuszko Park,961
casual,Avers Ave & Belmont Ave,949
casual,Harper Ave & 59th St,942
casual,Leavitt St & Lawrence Ave,941
casual,Troy St & Elston Ave,941
casual,Eastlake Ter & Rogers Ave,938
casual,May St & Cullerton St,937
casual,Western Ave & Congress Pkwy,934
casual,W Oakdale Ave & N Broadway,931
casual,Spaulding Ave & Division St,930
member,Halsted St & Archer Ave,925
casual,Canal St & Harrison St,924
member,Halsted St & 35th St,922
member,Wentworth Ave & 24th St (Temp),921
casual,Halsted St & North Branch St,920
casual,Francisco Ave & Foster Ave,918
casual,Greenview Ave & Jarvis Ave,918
casual,Ravenswood Ave & Berteau Ave,918
member,Woodlawn Ave & Lake Park Ave,918
casual,State St & 35th St,910
member,Cottage Grove Ave & Oakwood Blvd,909
casual,Talman Ave & Addison St,901
casual,Evanston Civic Center,893
casual,Indiana Ave & 31st St,883
casual,Indiana Ave & 26th St,881
casual,Clinton St & 18th St,876
casual,Halsted St & 21st St,872
member,McCormick Place,865
casual,Paulina St & Howard St,864
casual,Woodlawn Ave & Lake Park Ave,859
casual,Clark St & Lunt Ave,852
casual,Smith Park,848
casual,Calumet Ave & 33rd St,846
casual,Broadway & Wilson Ave,838
member,Central St Metra,836
member,Cherry Ave & Blackhawk St,829
member,Dorchester Ave & 49th St,816
member,Bernard St & Elston Ave,811
member,Christiana Ave & Lawrence Ave,809
casual,Central Park Ave & North Ave,806
casual,Warren Park West,806
member,Washtenaw Ave & Ogden Ave,801
member,Drake Ave & Montrose Ave,799
casual,Albany Ave & Montrose Ave,782
member,Avers Ave & Belmont Ave,781
casual,Shields Ave & 28th Pl,778
member,Halsted St & 21st St,778
casual,MLK Jr Dr & Pershing Rd,777
member,Burling St (Halsted) & Diversey Pkwy (Temp),777
casual,Wood St & Taylor St (Temp),773
member,Clark St & Touhy Ave,768
casual,Monticello Ave & Irving Park Rd,767
casual,Glenwood Ave & Touhy Ave,760
casual,Hoyne Ave & Balmoral Ave,753
casual,Prairie Ave & 43rd St,753
casual,Christiana Ave & Lawrence Ave,750
casual,Clark St & Columbia Ave,747
member,63rd St Beach,743
member,Loomis St & Archer Ave,743
member,Valli Produce - Evanston Plaza,735
casual,Rockwell St & Eastwood Ave,734
casual,MLK Jr Dr & 47th St,729
casual,Campbell Ave & Montrose Ave,726
casual,Cottage Grove Ave & 51st St,726
member,MLK Jr Dr & Pershing Rd,721
casual,Avondale Ave & Irving Park Rd,719
casual,Western Ave & Monroe St,719
member,Shields Ave & 28th Pl,719
member,Clinton St & Polk St,716
casual,Calumet Ave & 51st St,715
member,Kedzie Ave & Foster Ave,711
casual,Kedzie Ave & Leland Ave,710
member,2112 W Peterson Ave,709
casual,Wentworth Ave & 33rd St,706
casual,Wentworth Ave & 35th St,696
casual,Calumet Ave & 35th St,693
member,W Oakdale Ave & N Broadway,692
member,Central St & Girard Ave,686
casual,Sawyer Ave & Irving Park Rd,684
member,Wentworth Ave & 35th St,682
member,Western Ave & Granville Ave,672
member,Clark St & Jarvis Ave,669
casual,Western Ave & Granville Ave,668
member,Avondale Ave & Irving Park Rd,665
member,Kedzie Ave & Leland Ave,665
member,Warren Park East,665
casual,Halsted St & 35th St,664
casual,Keystone Ave & Fullerton Ave,662
member,Monticello Ave & Irving Park Rd,658
casual,Western Ave & 21st St,653
casual,Jeffery Blvd & 67th St,650
member,California Ave & 21st St,632
casual,N Green St & W Lake St,630
casual,Ashland Ave & 13th St,628
casual,Kedzie Ave & Foster Ave,622
member,Cottage Grove Ave & 51st St,621
casual,Racine Ave & 13th St,610
casual,Shields Ave & 31st St,610
casual,Halsted St & Archer Ave,596
casual,Cottage Grove Ave & 47th St,593
member,California Ave & 23rd Pl,592
casual,Cottage Grove Ave & 43rd St,582
member,Elmwood Ave & Austin St,582
casual,Budlong Woods Library,581
casual,Wallace St & 35th St,580
casual,Dorchester Ave & 49th St,579
member,Racine Ave & 35th St,578
member,Ashland Ave & Archer Ave,570
member,Lincolnwood Dr & Central St,569
casual,Valli Produce - Evanston Plaza,568
member,Sawyer Ave & Irving Park Rd,564
casual,Ogden Ave & Congress Pkwy,563
member,Throop (Loomis) St & Taylor St,563
member,Kedzie Ave & Bryn Mawr Ave,561
casual,Prairie Ave & Garfield Blvd,560
member,Racine Ave & 13th St,560
casual,Manor Ave & Leland Ave,557
casual,Conservatory Dr & Lake St,556
casual,Winchester (Ravenswood) Ave & Balmoral Ave,556
member,South Shore Dr & 67th St,556
member,Kedzie Ave & Chicago Ave,552
member,Cottage Grove Ave & 47th St,548
member,Bosworth Ave & Howard St,544
member,Malcolm X College Vaccination Site,542
casual,Cherry Ave & Blackhawk St,540
casual,Clinton St & Polk St,539
casual,Bernard St & Elston Ave,533
casual,Central St & Girard Ave,532
casual,Dorchester Ave & 63rd St,532
casual,Artesian Ave & Hubbard St,530
casual,Emerald Ave & 28th St,529
member,Western Ave & 24th St,527
casual,Ogden Ave & Roosevelt Rd,516
casual,Kedzie Ave & Bryn Mawr Ave,515
casual,Cottage Grove Ave & 63rd St,513
member,Evanston Civic Center,499
casual,Loomis St & Archer Ave,498
member,N Green St & W Lake St,494
casual,Western Ave & Lunt Ave,488
casual,Central St Metra,482
casual,Drake Ave & Montrose Ave,475
casual,Keystone Ave & Montrose Ave,470
casual,Racine Ave & 35th St,468
member,Central Park Ave & North Ave,466
member,Milwaukee Ave & Cuyler Ave,466
member,Warren Park West,466
member,Budlong Woods Library,465
casual,Warren Park East,462
casual,California Ave & 21st St,461
member,Leavitt St & Archer Ave,454
member,South Shore Dr & 74th St,453
member,Union Ave & Root St,451
casual,Malcolm X College Vaccination Site,450
member,Dodge Ave & Church St,441
member,Halsted St & 37th St,441
member,Western Ave & Howard St,435
member,Chicago Ave & Dempster St,433
casual,Burling St (Halsted) & Diversey Pkwy (Temp),430
casual,Kedzie Ave & Chicago Ave,430
member,Prairie Ave & 43rd St,419
member,California Ave & Lake St,418
casual,Oakley Ave & Touhy Ave,417
casual,Kedzie Ave & Lake St,414
casual,Western Ave & Howard St,413
casual,Washtenaw Ave & Ogden Ave,409
member,Damen Ave & Coulter St,409
casual,Austin Blvd & Lake St,407
casual,St. Louis Ave & Balmoral Ave,407
member,Central Ave & Chicago Ave,406
casual,South Shore Dr & 74th St,405
casual,Ashland Ave & Archer Ave,399
casual,Eberhart Ave & 61st St,399
casual,State St & 29th St,399
casual,Milwaukee Ave & Cuyler Ave,394
casual,Wood St & 35th St,394
casual,Maplewood Ave & Peterson Ave,393
casual,Jeffery Blvd & 71st St,389
casual,California Ave & Lake St,388
member,Keystone Ave & Montrose Ave,387
member,Drake Ave & Addison St,386
member,Cottage Grove Ave & 43rd St,385
casual,Cornell Dr & Hayes Dr,384
casual,Stony Island Ave & 64th St,382
casual,Ridge Blvd & Touhy Ave,380
casual,State St & 95th St,378
member,DuSable Museum,377
member,Kildare Ave & Montrose Ave,372
casual,Hermitage Ave & Polk St,371
casual,Stony Island Ave & 67th St,370
member,Kedzie Ave & Lake St,361
casual,Drake Ave & Addison St,360
casual,Archer (Damen) Ave & 37th St,356
casual,2112 W Peterson Ave,355
member,St. Louis Ave & Balmoral Ave,354
member,Prairie Ave & Garfield Blvd,350
member,Wood St & Taylor St,350
casual,Pulaski Rd & Eddy St (Temp),348
casual,Western Ave & 24th St,347
casual,Elmwood Ave & Austin St,346
casual,Stony Island Ave & 71st St,342
casual,Damen Ave & Wabansia Ave,338
casual,Normal Ave & Archer Ave,337
member,Conservatory Dr & Lake St,337
member,Keystone Ave & Fullerton Ave,337
casual,Damen Ave & Pershing Rd,335
casual,Dodge Ave & Mulford St,334
casual,Kildare Ave & Montrose Ave,331
casual,Leavitt St & Archer Ave,330
casual,Ridge Blvd & Howard St,330
casual,Clark St & Jarvis Ave,325
casual,Bosworth Ave & Howard St,324
member,Indiana Ave & 40th St,324
member,Wood St & 35th St,323
member,Halsted St & 47th Pl,321
member,Ridge Blvd & Howard St,319
casual,Knox Ave & Montrose Ave,317
casual,Halsted St & 47th Pl,316
casual,Western Blvd & 48th Pl,316
member,Ridge Blvd & Touhy Ave,316
member,Fairfield Ave & Roosevelt Rd,309
casual,Clark St & Touhy Ave,308
member,Kilbourn Ave & Irving Park Rd,307
member,Maplewood Ave & Peterson Ave,304
member,Damen Ave & Pershing Rd,303
casual,Central Park Ave & Ogden Ave,302
casual,Chicago Ave & Dempster St,302
casual,DuSable Museum,299
casual,Halsted St & 37th St,299
casual,MLK Jr Dr & 56th St,292
casual,Dodge Ave & Church St,291
casual,Calumet Park,288
casual,Indiana Ave & 40th St,286
member,Calumet Ave & 51st St,286
casual,Greenwood Ave & 97th St,281
casual,Wolcott Ave & Fargo Ave,281
member,Dorchester Ave & 63rd St,281
member,State St & 29th St,279
member,Pulaski Rd & Eddy St (Temp),278
member,Central Park Ave & Ogden Ave,276
casual,State St & 79th St,275
member,Drake Ave & Fullerton Ave,275
casual,Halsted St & 18th St (Temp),269
casual,Rainbow Beach,266
casual,Wabash Ave & 87th St,266
casual,Lincolnwood Dr & Central St,260
casual,W Armitage Ave & N Sheffield Ave,259
casual,Damen Ave & Coulter St,258
member,Sacramento Blvd & Franklin Blvd,256
casual,California Ave & 23rd Pl,252
casual,Prospect Sq & 91st St,251
member,Knox Ave & Montrose Ave,251
casual,Throop (Loomis) St & Taylor St,249
casual,Kilbourn Ave & Irving Park Rd,246
member,Oakley Ave & Touhy Ave,243
casual,Stony Island Ave & 75th St,241
member,Halsted St & 18th St (Temp),241
casual,Central Park Blvd & 5th Ave,240
member,Malcolm X College,240
casual,Big Marsh Park,239
casual,Central Ave & Lake St,238
casual,Princeton Ave & 47th St,236
member,Damen Ave & Wabansia Ave,236
casual,Union Ave & Root St,234
casual,Walden Pkwy & 100th St,233
member,Dodge Ave & Mulford St,233
casual,Kedzie Ave & Roosevelt Rd,231
member,Jeffery Blvd & 67th St,231
casual,Fairfield Ave & Roosevelt Rd,230
member,Cottage Grove Ave & 63rd St,230
member,MLK Jr Dr & 47th St,229
member,State St & Pershing Rd,228
casual,Millard Ave & 26th St,227
member,Stony Island Ave & 75th St,227
member,Kilbourn Ave & Milwaukee Ave,226
casual,Kilbourn Ave & Milwaukee Ave,220
casual,Phillips Ave & 79th St,216
casual,Elizabeth St & 92nd St,215
member,Stony Island Ave & 82nd St,212
casual,Austin Blvd & Madison St,211
casual,Wentworth Ave & 63rd St,208
casual,Central Ave & Chicago Ave,204
casual,Princeton Ave & Garfield Blvd,201
casual,Kedzie Ave & 21st St,200
casual,MLK Jr Dr & 63rd St,200
member,Base - 2132 W Hubbard Warehouse,200
casual,Dauphin Ave & 87th St,198
member,W Armitage Ave & N Sheffield Ave,195
casual,State St & 123rd St,194
member,Archer (Damen) Ave & 37th St,193
member,Wolcott Ave & Fargo Ave,192
casual,Cottage Grove Ave & 67th St,191
casual,Greenwood Ave & 79th St,191
casual,Austin Blvd & Chicago Ave,190
casual,Lawndale Ave & 111th St,190
member,Ashland Ave & Pershing Rd,190
member,Central Ave & Madison St,189
casual,Burnham Greenway & 105th St,186
casual,Cottage Grove Ave & 83rd St,185
casual,Jeffery Blvd & 76th St,181
casual,Albany Ave & 26th St,180
casual,Cottage Grove Ave & 78th St,179
casual,Vernon Ave & 75th St,177
casual,Perry Ave & 69th St,176
casual,State St & 54th St,176
casual,Cottage Grove Ave & 111th Pl,175
casual,Drake Ave & Fullerton Ave,175
casual,Loomis Blvd & 84th St,175
casual,Baltimore Ave & 87th St,174
casual,Major Taylor Trail & 115th St,172
member,Marshfield Ave & 44th St,172
casual,Yates Blvd & 75th St,170
casual,Vernon Ave & 107th St,169
casual,Eggleston Ave & 92nd St,168
casual,Hale Ave & 107th St,168
member,MLK Jr Dr & 56th St,168
casual,Pulaski Rd & Lake St,166
casual,Stewart Ave & 83rd St,165
casual,Hoyne Ave & 47th St,164
member,Albany Ave & 26th St,164
casual,N Sheffield Ave & W Wellington Ave,161
casual,Stony Island Ave & South Chicago Ave,161
casual,Western Ave & 111th St,160
casual,Ashland Ave & McDowell Ave,159
member,Ashland Ave & McDowell Ave,159
member,Kedzie Ave & 21st St,159
casual,Dodge Ave & Main St,157
casual,Eberhart Ave & 91st St,156
casual,Pulaski Rd & Congress Pkwy,156
member,Dodge Ave & Main St,156
casual,Racine Ave & Garfield Blvd,155
casual,Halsted St & 104th St,152
member,Central Park Blvd & 5th Ave,152
casual,State St & Pershing Rd,151
casual,Exchange Ave & 79th St,149
casual,N Southport Ave & W Newport Ave,148
casual,Vernon Ave & 79th St,146
member,Princeton Ave & Garfield Blvd,146
casual,Kedzie Ave & Harrison St,144
member,Cornell Dr & Hayes Dr,144
casual,Halsted St & 111th St,143
member,California Ave & 26th St,143
member,Eberhart Ave & 61st St,143
casual,Marquette Ave & 89th St,142
member,Austin Blvd & Lake St,142
casual,Cicero Ave & Lake St,141
casual,Sacramento Blvd & Franklin Blvd,141
member,Stony Island Ave & 64th St,141
casual,Houston Ave & 92nd St,138
casual,Stony Island Ave & 82nd St,138
casual,Ellis Ave & 83rd St,137
member,Princeton Ave & 47th St,137
casual,Kedzie Ave & 24th St,135
casual,Indiana Ave & 103rd St,132
member,Jeffery Blvd & 71st St,132
casual,Ashland Ave & 50th St,131
casual,Evans Ave & 75th St,131
casual,Central Park Ave & 24th St,130
casual,Oglesby Ave & 100th St,128
casual,Cottage Grove Ave & 71st St,127
casual,Central Ave & Harrison St,124
member,Hoyne Ave & 47th St,123
member,Stony Island Ave & 67th St,123
casual,Commercial Ave & 130th St,121
casual,Damen Ave & 59th St,121
member,Austin Blvd & Madison St,120
casual,Ashland Ave & 63rd St,118
casual,Ashland Ave & 78th St,118
casual,Western Ave & 104th St,118
casual,Ashland Ave & Pershing Rd,116
casual,Commercial Ave & 83rd St,116
casual,Stewart Ave & 63rd St,116
casual,Bradley Park,115
casual,Halsted St & 73rd St,115
casual,Eggleston Ave & 69th St,114
casual,Avenue O & 134th St,112
casual,Central Ave & Madison St,112
casual,Homewood Ave & 115th St,112
casual,Dauphin Ave & 103rd St,111
member,N Sheffield Ave & W Wellington Ave,111
member,Pulaski Rd & Lake St,111
casual,Chicago State University,110
casual,Phillips Ave & 83rd St,110
member,Austin Blvd & Chicago Ave,110
casual,Avenue O & 118th St,109
casual,Loomis St & 89th St,109
casual,California Ave & 26th St,108
casual,Bennett Ave & 79th St,106
casual,Stony Island Ave & 90th St,106
casual,Cicero Ave & Quincy St,105
casual,Laramie Ave & Madison St,105
member,State St & 79th St,103
casual,Eberhart Ave & 131st St,101
casual,Halsted & 63rd - Kennedy-King Vaccination Site,101
member,N Southport Ave & W Newport Ave,101
member,Stony Island Ave & 71st St,100
casual,Marshfield Ave & 44th St,99
member,Rainbow Beach,99
casual,Clyde Ave & 87th St,98
casual,Damen Ave & 51st St,98
casual,East End Ave & 87th St,98
casual,Halsted St & 96th St,98
casual,Major Taylor Trail & 124th St,98
member,State St & 95th St,98
member,Western Blvd & 48th Pl,98
casual,Torrence Ave & 106th St,97
casual,Karlov Ave & Madison St,96
casual,Latrobe Ave & Chicago Ave,96
casual,Summit Ave & 86th St,96
casual,May St & 69th St,95
member,Morgan St & Pershing Rd,94
casual,Michigan Ave & 114th St,93
member,Laramie Ave & Madison St,93
member,Yates Blvd & 75th St,93
casual,Laramie Ave & Kinzie St,92
casual,Shields Ave & 43rd St,92
member,Cottage Grove Ave & 67th St,92
member,Eggleston Ave & 92nd St,90
member,Phillips Ave & 79th St,90
casual,Halsted St & 78th St,89
member,Baltimore Ave & 87th St,88
casual,Michigan Ave & 71st St,86
casual,Greenwood Ave & 91st St,85
member,Central Ave & Lake St,85
casual,Altgeld Gardens,84
member,State St & 54th St,84
casual,Ada St & 113th St,83
casual,South Chicago Ave & 83rd St,83
casual,Wentworth Ave & 104th St,83
member,Ashland Ave & 66th St,83
member,Kostner Ave & Adams St,83
member,Millard Ave & 26th St,83
casual,Ashland Ave & 66th St,82
casual,Constance Ave & 95th St,81
casual,Malcolm X College,79
member,East End Ave & 87th St,79
casual,Calumet Ave & 71st St,78
casual,Ewing Ave & Burnham Greenway,78
casual,Kedzie Ave & 110th St,78
member,Stony Island Ave & South Chicago Ave,77
casual,Rhodes Ave & 71st St,76
member,Prospect Sq & 91st St,76
member,Central Park Ave & 24th St,75
member,MLK Jr Dr & 63rd St,73
casual,Ashland Ave & Garfield Blvd,72
casual,Halsted St & 56th St,72
member,Halsted St & 96th St,72
casual,Vincennes Ave & 104th St,71
casual,Throop St & 52nd St,70
member,Greenwood Ave & 97th St,70
casual,Wabash Ave & 83rd St,69
casual,Wood St & Taylor St,69
member,Big Marsh Park,69
casual,Kenton Ave & Madison St,68
casual,Kostner Ave & Adams St,68
member,Perry Ave & 69th St,67
casual,Yates Blvd & 93rd St,66
casual,Ashland Ave & 74th St,64
casual,Commercial Ave & 100th St,64
casual,Halsted St & 69th St,62
member,Western & 28th - Velasquez Institute Vaccination Site,62
casual,Kostner Ave & Lake St,61
casual,Elizabeth St & 47th St,60
casual,MLK Jr Dr & 83rd St,60
casual,Vincennes Ave & 75th St,60
member,Wabash Ave & 87th St,60
member,Wentworth Ave & 63rd St,60
casual,Halsted St & 63rd St,59
member,Clyde Ave & 87th St,59
member,Major Taylor Trail & 115th St,59
member,Eggleston Ave & 69th St,58
member,Laramie Ave & Kinzie St,55
member,Cottage Grove Ave & 83rd St,54
member,Jeffery Blvd & 76th St,54
member,Central Ave & Harrison St,53
member,Kedzie Ave & 24th St,53
member,Kedzie Ave & Roosevelt Rd,53
member,Latrobe Ave & Chicago Ave,53
casual,Racine Ave & 65th St,52
member,Ashland Ave & 63rd St,52
member,Loomis Blvd & 84th St,52
member,Western Ave & 28th St,51
casual,Halsted St & 51st St,49
casual,Woodlawn Ave & 75th St,49
member,Vernon Ave & 75th St,49
member,Ewing Ave & Burnham Greenway,48
casual,Morgan St & Pershing Rd,47
member,Dauphin Ave & 87th St,47
casual,Laramie Ave & Gladys Ave,46
casual,N Carpenter St & W Lake St,46
casual,Seeley Ave & Garfield Blvd,46
member,N Carpenter St & W Lake St,46
member,Stony Island Ave & 90th St,46
casual,Cicero Ave & Flournoy St,45
casual,W Washington Blvd & N Peoria St,45
member,Cicero Ave & Flournoy St,45
member,Indiana Ave & 103rd St,45
casual,Lamon Ave & Belmont Ave,44
member,Burnham Greenway & 105th St,44
member,Calumet Park,43
member,Shields Ave & 43rd St,43
member,HUBBARD ST BIKE CHECKING (LBS-WH-TEST),42
member,Seeley Ave & Garfield Blvd,42
casual,Halsted St & 59th St,41
casual,Marshfield Ave & 59th St,41
member,Evans Ave & 75th St,41
member,Halsted & 63rd - Kennedy-King Vaccination Site,41
member,May St & 69th St,41
casual,Elizabeth St & 59th St,40
member,Commercial Ave & 83rd St,40
casual,Hegewisch Metra Station,39
casual,Mulligan Ave & Wellington Ave,38
member,Elizabeth St & 47th St,38
member,Halsted St & 63rd St,38
member,Michigan Ave & 71st St,38
member,Summit Ave & 86th St,38
member,Greenwood Ave & 79th St,37
member,Houston Ave & 92nd St,37
member,Racine Ave & Garfield Blvd,37
member,Walden Pkwy & 100th St,37
casual,Meade Ave & Diversey Ave,36
casual,N Paulina St & Lincoln Ave,36
casual,State St & 76th St,36
casual,Torrence Ave & 126th Pl,36
casual,Western & 28th - Velasquez Institute Vaccination Site,36
member,Marquette Ave & 89th St,36
casual,Homan Ave & Fillmore St,35
member,Hale Ave & 107th St,35
member,Halsted St & 56th St,35
member,W Washington Blvd & N Peoria St,35
casual,Maryland Ave & 104th St,34
member,Chicago State University,34
casual,Lavergne & Fullerton,32
casual,Long & Irving Park,32
casual,W 103rd St & S Avers Ave,32
casual,Lockwood Ave & Wrightwood Ave,31
member,Ashland Ave & Garfield Blvd,31
member,Exchange Ave & 79th St,31
member,Halsted St & 69th St,31
member,Pulaski Rd & Congress Pkwy,31
member,Stewart Ave & 63rd St,31
member,Bennett Ave & 79th St,30
member,Kedzie Ave & Harrison St,30
casual,Mason Ave & Belmont Ave,29
member,Halsted St & 111th St,29
member,Laramie Ave & Gladys Ave,29
casual,Central Ave & Parker Ave,28
casual,Racine Ave & 61st St,28
casual,Woodlawn & 103rd - Olive Harvey Vaccination Site,28
casual,Kostner Ave & Wrightwood Ave,27
casual,Lamon Ave & Armitage Ave,27
member,Cicero Ave & Lake St,27
member,Eberhart Ave & 91st St,27
member,Oglesby Ave & 100th St,27
member,Vincennes Ave & 104th St,27
casual,Carpenter St & 63rd St,26
casual,Narragansett Ave & School St,26
member,Ashland Ave & 50th St,26
member,Cottage Grove Ave & 78th St,26
member,Karlov Ave & Madison St,26
member,Vernon Ave & 79th St,26
casual,Kedzie Ave & 104th St,25
member,Halsted St & 51st St,25
member,N Paulina St & Lincoln Ave,25
casual,S Aberdeen St & W 106th St,24
casual,South Chicago Ave & Elliot Ave,24
member,Bradley Park,24
member,Constance Ave & 95th St,24
member,Kenton Ave & Madison St,24
member,Throop St & 52nd St,24
casual,Meade Ave & Addison St,23
member,Calumet Ave & 71st St,23
member,Homewood Ave & 115th St,23
member,South Chicago Ave & 83rd St,23
member,Woodlawn Ave & 75th St,23
casual,Central Park Ave & Douglas Blvd,22
casual,Plainfield & Irving Park,22
casual,WATSON TESTING - DIVVY,22
member,Kostner Ave & Lake St,22
member,Long & Irving Park,22
casual,Central Ave & Roscoe St,21
casual,Kilpatrick Ave & Parker Ave,21
member,Ashland Ave & 74th St,21
member,Halsted St & 73rd St,21
member,Stewart Ave & 83rd St,21
casual,Keeler Ave & Roosevelt Rd,20
member,Hegewisch Metra Station,20
member,MLK Jr Dr & 83rd St,20
member,Western Ave & 111th St,20
casual,Oketo Ave & Addison St,19
casual,Spaulding Ave & 16th St,19
member,Cottage Grove Ave & 111th Pl,19
member,Cottage Grove Ave & 71st St,19
member,Halsted St & 78th St,19
member,Long Ave & Belmont Ave,19
member,Major Taylor Trail & 124th St,19
member,Rhodes Ave & 71st St,19
casual,Cicero Ave & Grace St,18
casual,Kilbourn & Roscoe,18
casual,Long Ave & Belden Ave,18
member,Ashland Ave & 78th St,18
member,Cicero Ave & Quincy St,18
member,Wabash Ave & 83rd St,18
casual,Western Ave & 28th St,17
member,Lamon Ave & Belmont Ave,17
member,Wentworth Ave & 104th St,17
member,Western Ave & 104th St,17
member,Halsted St & 104th St,16
member,Lockwood Ave & Wrightwood Ave,16
member,Phillips Ave & 83rd St,16
casual,Lawndale Ave & 16th St,15
casual,Lawndale Ave & 30th St,15
casual,Long Ave & Belmont Ave,15
member,Commercial Ave & 130th St,15
member,Ellis Ave & 83rd St,15
member,Kilbourn & Roscoe,15
member,Kostner Ave & Wrightwood Ave,15
casual,Parkside Ave & Armitage Ave,14
member,Dauphin Ave & 103rd St,14
member,Halsted St & 59th St,14
casual,Avenue L & 114th St,13
casual,Tripp Ave & 31st St,13
member,Avenue O & 118th St,13
member,Eberhart Ave & 131st St,13
member,State St & 76th St,13
casual,Jeffery Blvd & 91st St,12
member,Damen Ave & 51st St,12
member,Spaulding Ave & 16th St,12
casual,Hampden Ct & Diversey Ave,11
member,Avenue O & 134th St,11
member,Kilbourn & Belden,11
member,Long Ave & Belden Ave,11
member,Michigan Ave & 114th St,11
member,S Aberdeen St & W 106th St,11
member,W 103rd St & S Avers Ave,11
casual,Komensky Ave & 31st St,10
casual,Tripp Ave & 15th St,10
member,Elizabeth St & 59th St,10
member,Kedzie Ave & 110th St,10
member,South Chicago Ave & Elliot Ave,10
member,Yates Blvd & 93rd St,10
casual,Ashland Ave & 69th St,9
casual,Base - 2132 W Hubbard Warehouse,9
member,Lavergne & Fullerton,9
member,Racine Ave & 61st St,9
member,Torrence Ave & 106th St,9
casual,S Michigan Ave & E 118th St,8
member,Damen Ave & 59th St,8
member,Greenwood Ave & 91st St,8
member,Lawndale Ave & 111th St,8
member,Racine Ave & 65th St,8
casual,Roscoe & Harlem,7
member,Ada St & 113th St,7
member,Central Ave & Roscoe St,7
member,Jeffery Blvd & 91st St,7
member,Vincennes Ave & 75th St,7
member,Woodlawn & 103rd - Olive Harvey Vaccination Site,7
casual,S Wentworth Ave & W 111th St,6
casual,Sayre & Diversey,6
member,Altgeld Gardens,6
member,Carpenter St & 63rd St,6
member,Hampden Ct & Diversey Ave,6
member,State St & 123rd St,6
casual,Harding Ave & 26th St,5
casual,WEST CHI-WATSON,5
member,Loomis St & 89th St,5
member,Mulligan Ave & Wellington Ave,5
member,Narragansett Ave & School St,5
member,Tripp Ave & 31st St,5
casual,DIVVY CASSETTE REPAIR MOBILE STATION,4
